index,name,type,Latitude,Longitude,value
1,Helsinki,demand,60.192059,24.945831,1765.110907
2,Lahti,demand,60.98558771,25.6616134,174.7885353
3,Turku,demand,60.45451,22.264824,381.9300987
4,Tampere,demand,61.50067762,23.75625377,475.8788052
5,Hämeenlinna,demand,61.02535703,24.46573612,74.1781614
6,Hyvinkää,demand,60.63492542,24.86015533,63.5332908
7,Riihimäki,demand,60.7382217,24.7542854,42.0890805
8,Lohja,demand,60.29384138,24.04862979,50.2159548
9,Pori,demand,61.51622027,21.80712226,126.6376674
10,Rauma,demand,61.14032703,21.51270938,50.2894401
11,Olkiluoto 1,source,61.23691,21.445806,860
12,Olkiluoto 2,source,61.235971,21.442459,860
13,Loviisa 1,source,60.371235,26.347092,488
14,Loviisa 2,source,60.370387,26.346384,488
15,Meri-Pori Power Station,source,61.631667,21.406667,865
16,Kristiina Power Station,source,62.2553,21.3268,450
17,Vuosaari Power Station,source,60.2199,25.1692,630
18,Suomenoja Power Station,source,60.148333,24.718333,359
19,Naantali Power Station,source,60.457667,22.055167,256
20,Mussalo Power Station,source,60.435167,26.911806,313
21,Alholmens Kraft Power Station,source,63.701944,22.709722,256
22,Toppila Power Station,source,60.164722,25.488056,190
23,Imatra Dam,source,61.166797,28.774695,178
24,PetÌ?jÌ?skoski Dam,source,66.27164,25.339816,154
25,Taivalkoski Dam,source,65.932788,24.706,133
26,Keljonlahti Power Station,source,62.1923,25.7376,209
27,Vaskiluoto Power Station,source,63.091389,21.553889,390
